station_name,page_url,website,twitter
Radio Stotis Tau,https://onlineradiobox.com/lt/stotistau/?played=1&cs=lt.stotistau,http://www.tau.lt/,N/A
Radio Sónica 103.3,https://onlineradiobox.com/pe/sonica1033/?cs=pe.sonica1033&played=1,https://www.radiosonica.pe/,https://twitter.com/sonica1033fm
